BTPBH,Paro
BTPHU,Phuntsholing
BTTHI,Thimpbu
ADALV,Andorra la Vella
ADCAN,Canillo
ADENC,Encamp
ADESC,Escaldes-Engordany
ADEAC,Escàs
ADFMO,La Farga de Moles
ADLMA,La Massana
ADORD,Ordino
ADPAS,Pas de la Casa
ADSJL,Sant Julià de Lòria
ADSCO,Santa Coloma
LOCODE,Name
AWAUA,Aruba
AWBAR,Barcadera
AWBUS,Bushiribana
AWDEU,Druif
AWND9,Noord
AWORJ,Oranjestad
AWPAB,Palm Beach
AWPAR,Paradera
AWSCZ,Santa Cruz
AWSNL,Sint Nicolaas
LOCODE,Name
AIAXA,Anguilla
AIBLP,Blowing Point
AICRH,Crocus Hill
AIMBB,Meads Bay Beach
AIRBY,Road Bay
AISOM,Sombrero
AIFOR,The Forest
AIROA,The Road
AIVAL,The Valley
AIWLL,Wall Blake
LOCODE,Name
AGANU,Antigua
AGBBQ,Barbuda
AGFAM,Falmouth
AGPHM,Parham
AGSJO,Saint John's
LOCODE,Name
BBBGI,Bridgetown
BBG5B,Brighton
BBCCH,Christ Church
BBH9G,Edge Hill
BBHLT,Holetown
BBJCK,Jackson
BBNES,Nesfield
BBOST,Oistins
BBSTM,Saint Michael
BBSPR,Saint Peter
BBSAP,Saint Philip
BBSLC,Sam Lords Castle
BBSPT,Speightstown
CXXCH,Christmas Island
CXFFC,Flying Fish Cove
GDCRU,Carriacou Apt
GDGND,Grenada
GDGRE,Grenville
GDHIL,"Hillsborough, Carriacou Is"
GDSTG,Saint George's
LOCODE,Name
BIBBZ,Bubanza
BIBJM,Bujumbura
BIBRR,Bururi
BICKZ,Cankuzo
BICBK,Cibitoke
BIGID,Gitega
BIKKB,Karuzi
BIKYZ,Kayanza
BIKRE,Kirundo
BIMMB,Makamba
BIMUR,Muramvya
BIMYG,Muyinga
BIMWM,Mwaro
BINGZ,Ngozi
BIRUM,Rumonge
BIRUT,Rutana
BIRUY,Ruyigi
AXMHQ,Maarianhamina (Mariehamn)
AXMHQ,Mariehamn (Maarianhamina)
ALARG,Argyrokastro
ALBRT,Berat
ALBQE,Bulqizë
ALBUT,Butrint
ALDRZ,Durrës
ALNPP,Elbasan
ALFIE,Fier
ALFUS,Fushe Arrez
ALGOK,Gjirokastër
ALHMR,Himare
ALKRC,Korçë
ALKKU,Kukës
ALLZE,Lezhe
ALLUS,Lushnjë
ALMBR,Mbreshtan
ALMIL,Milot
ALROM,Romano Port
ALSAR,Sarandë
ALSHG,Shëngjin
ALSHK,Shkoder
ALSHZ,Shkozet
ALTEN,Tenes
ALTIA,Tirana
ALVOA,Vlorë
ALVOR,Vore
LOCODE,Name
AQABA,Aboa
AQAMS,Amundsen-Scott
AQARC,Arctowski
AQART,Artigas
AQAPT,Arturo Prat
AQBEL,Belgrano II
AQBHN,Bellingshausen
AQCAS,Casey Station
AQCFZ,Comandante Ferraz
AQCON,Concordia
AQDAV,Davis Station
AQDMF,Dome Fuji
AQDRZ,Druzhnaya 4
AQDDU,Dumont d'Urville Station
AQESC,Escudero
AQESP,Esperanza
AQGDC,Gabriel de Castilla
AQOHG,General Bernardo O'higgins
AQGWL,Great Wall
AQHLY,Halley
AQJBS,Jang Bogo Station
AQJCP,Juan Carlos Primero
AQJUB,Jubany
AQKSG,King Sejong
AQKHN,Kohnen
AQLAW,Law Base
AQMTR,Maitri
AQMRB,Marambio
AQMZU,Mario Zucchelli
AQMAW,Mawson Station
AQMCM,McMurdo
AQMIR,Mirny
AQNEU,Neumayer
AQNOV,Novolazarevskaya
AQORC,Orcadas
AQPLM,Palmer
AQPFS,Port Foster
AQPRO,Progress
AQROT,Rothera
AQSMT,San Martín
AQSNA,SANAE IV
AQSBA,Scott Base
AQSGN,Signy
AQSYW,Syowa
AQTNM,Teniente R. Marsh
AQTOR,Tor
AQTRL,Troll
AQVKY,Vernadsky
AQVOS,Vostok
AQWSA,Wasa
AQZGN,Zhongshan
LOCODE,Name
BZBAR,Barranco
BZBZE,Belize City
BZTZA,Belize City Municipal Airport
BZBMP,Belmopan
BZBVJ,Benque Viejo
BZBVC,Benque Viejo del Carmen
BZBGK,Big Creek
BZCUK,Caye Caulker
BZCYC,Caye Chapel
BZCOL,Colinto
BZCZH,Corozal
BZCRR,Crooked Tree
BZDGA,Dangriga
BZINB,Independence Apt
BZMZE,Manatee Apt
BZMDB,Melinda
BZORZ,Orange Walk
BZPLJ,Placencia
BZPND,Punta Gorda
BZSQS,San Ignacio
BZSPR,San Pedro
BZSTU,Santa Cruz
BZ4SA,Santa Elena
BZSJX,Sartaneja
BZSVK,Silver Creek
LOCODE,Name
LRBYL,Bella Yella
LRUCN,Buchanan
LRCMT,Cape Mount
LRCPA,Cape Palmas
LRFIM,Fimibo
LRFOY,Foya
LRGBS,Grand Bassa
LRGRC,Grand Cess
LRGRE,Greenville
LRHBL,Harbel
LRHAR,Harper
LRLOB,Lower Buchanan
LRMAR,Marshall
